<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,20231128,0.87,0.9595,0.8,0.9498,3900
AACI,20231128,10.7299,10.73,10.7299,10.73,600
AACIW,20231128,0.05,0.05,0.0351,0.0351,500
AADI,20231128,4.85,5.46,4.72,5.41,108900
AADR,20231128,53.52,53.52,53.5,53.5,300
AAL,20231128,12.19,12.26,11.95,12.17,33964500
AAME,20231128,2.07,2.09,1.9999,2,3100
AAOI,20231128,14.61,15.2,13.88,14.61,2960400
AAON,20231128,63.52,63.825,61.86,61.91,316800
AAPB,20231128,26.91,27.17,26.91,27.04,3200
AAPD,20231128,20.63,20.64,20.47,20.55,86400
AAPL,20231128,189.78,191.08,189.4,190.4,38414700
AAPU,20231128,27.21,27.48,27.18,27.36,74800
AAXJ,20231128,65.58,65.92,65.54,65.84,594800
ABAT,20231128,4.1,4.33,3.95,4.3,348100
ABCB,20231128,42.25,42.43,41.86,42.09,179400
ABCL,20231128,4.6,4.8,4.4,4.73,2338300
ABCM,20231128,23.94,23.96,23.94,23.95,6450900
ABEO,20231128,4.93,5.01,4.66,4.96,331000
ABIO,20231128,1.95,1.95,1.89,1.9,5900
ABL,20231128,7.31,7.31,7.0624,7.1,7000
ABLLL,20231128,24.79,24.85,24.75,24.75,3200
ABLLW,20231128,0.38,0.4,0.38,0.3849,6200
ABLV,20231128,2.8,2.92,2.8,2.84,9000
ABNB,20231128,128.79,129.54,125.85,127.56,4024400
ABOS,20231128,2.36,2.36,2.19,2.26,320900
ABSI,20231128,1.4,1.52,1.35,1.52,423100
ABTS,20231128,0.95,0.98,0.95,0.98,7400
ABUS,20231128,1.82,1.86,1.79,1.85,542100
ABVC,20231128,1.68,1.71,1.45,1.5,967100
ABVX,20231128,9.81,10.22,9.42,9.8,499700
ACAB,20231128,10.61,10.61,10.6,10.6,7500
ACAD,20231128,22.16,22.29,21.87,22.29,946500
ACAH,20231128,10.54,10.54,10.53,10.53,600
ACAHU,20231128,10.47,10.55,10.47,10.55,700
ACB,20231128,0.46,0.4656,0.4588,0.4656,2537000
ACCD,20231128,8.27,8.5,8.05,8.5,419400
ACDC,20231128,8.27,8.3,8,8.08,536900
ACET,20231128,1.18,1.18,1.1,1.11,238500
ACGL,20231128,86.79,87.16,84.39,84.45,1621100
ACGLN,20231128,19.33,19.59,19.2204,19.59,10400
ACGLO,20231128,22.3481,22.86,22.3101,22.86,21000
ACHC,20231128,72.61,72.61,71.286,72,368400
ACHL,20231128,0.84,0.87,0.82,0.84,122300
ACHV,20231128,5.51,5.98,5.51,5.86,38700
ACIC,20231128,8.48,8.48,8.1,8.23,312600
ACIU,20231128,2.9,3.225,2.9,3.2,76800
ACIW,20231128,26.56,27.1,26.43,27.07,595800
ACLS,20231128,127.22,128.06,124.45,125.76,387100
ACLX,20231128,52.95,53.42,48.15,51.1,1061500
ACMR,20231128,17.57,17.64,16.93,17.2,522500
ACNB,20231128,38.36,38.8799,38.35,38.5,23300
ACNT,20231128,8,8.1,8,8.1,3100
ACON,20231128,0.261,0.2826,0.26,0.27,53500
ACOR,20231128,10.45,10.49,10.3831,10.49,5400
ACRS,20231128,0.8718,0.8982,0.8048,0.8904,1923100
ACRV,20231128,3.95,4.25,3.6475,3.88,21800
ACRX,20231128,0.74,0.799,0.67,0.7188,157000
ACST,20231128,2.04,2.13,2.04,2.08,12200
ACT,20231128,27.78,27.78,27.53,27.54,133500
ACTG,20231128,3.64,3.68,3.61,3.64,215100
ACVA,20231128,14.84,15.01,14.69,14.96,677100
ACWI,20231128,97.59,98.03,97.42,97.78,6387500
ACWX,20231128,49.19,49.435,49.09,49.33,1563600
ACXP,20231128,3.74,3.85,3.53,3.6,129600
ADAG,20231128,1.44,1.5,1.44,1.46,14900
ADAP,20231128,0.47,0.48,0.42,0.45,363300
ADBE,20231128,613.97,625.6,612.26,623.32,2302900
ADD,20231128,0.2997,0.3177,0.2951,0.2962,42300
ADEA,20231128,9.86,9.86,9.6,9.63,398000
ADES,20231128,2.65,2.7026,2.57,2.68,45100
ADI,20231128,183.26,184.55,182.34,183.2,2797800
ADIL,20231128,2.19,2.19,2.04,2.05,9400
ADMA,20231128,3.83,3.83,3.71,3.72,942800
ADN,20231128,0.5,0.5,0.44,0.45,436500
ADNWW,20231128,0.0526,0.0639,0.0477,0.05,42000
