<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,20231207,0.8623,0.89,0.8523,0.89,2400
AACI,20231207,10.76,10.8,10.76,10.8,36900
AACIW,20231207,0.03,0.03,0.0213,0.0256,122400
AADI,20231207,4.71,4.9361,4.7,4.78,156800
AADR,20231207,53.01,53.7,53.01,53.7,400
AAGR,20231207,6.14,8.1899,4.4,4.7,156300
AAGRW,20231207,0.06,0.0625,0.05,0.06,2100
AAL,20231207,13.69,14.15,13.68,13.91,49511600
AAME,20231207,1.9101,1.9251,1.9101,1.92,1300
AAOI,20231207,17.16,18.3299,16.8,17.66,2460400
AAON,20231207,63.83,65.27,62.88,65.23,352700
AAPB,20231207,27.8,28.0689,27.77,27.84,15800
AAPD,20231207,20.25,20.25,20.0986,20.17,303500
AAPL,20231207,193.63,195,193.59,194.27,47477600
AAPU,20231207,27.99,28.3,27.99,28.13,96800
AAXJ,20231207,64.37,64.68,64.31,64.64,296400
ABAT,20231207,4,4.31,3.95,4.1,426600
ABCB,20231207,46,46.85,45.8,46.8,470400
ABCL,20231207,4.87,4.96,4.79,4.84,854100
ABEO,20231207,4.54,4.79,4.5,4.75,279400
ABIO,20231207,1.85,1.85,1.82,1.8232,22000
ABL,20231207,7.1,7.17,7.04,7.0955,4400
ABLLL,20231207,24.95,25,24.9,25,1800
ABLLW,20231207,0.3331,0.4,0.32,0.3762,10000
ABLV,20231207,2.45,2.84,2.45,2.84,26700
ABNB,20231207,135.51,141.16,135.43,139.84,7108500
ABOS,20231207,2.84,2.85,2.77,2.81,538700
ABSI,20231207,2.32,2.42,2.2501,2.37,688700
ABTS,20231207,1.09,1.1,0.95,1.01,142200
ABUS,20231207,2.06,2.08,2.04,2.08,402100
ABVC,20231207,1.33,1.36,1.22,1.25,437900
ABVX,20231207,10.36,10.8,10.265,10.3,83800
ACAB,20231207,10.65,10.66,10.645,10.66,7600
ACABW,20231207,0.0271,0.0271,0.0271,0.0271,200
ACAD,20231207,21.51,21.84,21.2,21.79,2875100
ACAH,20231207,10.52,10.52,10.52,10.52,200
ACAHW,20231207,0.026,0.0299,0.026,0.026,342100
ACB,20231207,0.4925,0.5,0.4827,0.4907,3887800
ACCD,20231207,9.11,9.26,8.9,9.24,474000
ACDC,20231207,7.7,7.8,7.58,7.66,435400
ACET,20231207,1.33,1.4,1.25,1.37,287600
ACGL,20231207,80.02,80.43,78.195,78.34,2321700
ACGLN,20231207,19.62,19.77,19.51,19.69,15400
ACGLO,20231207,22.59,22.79,22.59,22.72,21200
ACHC,20231207,70.62,72.14,70.145,71.98,641600
ACHL,20231207,0.822,0.93,0.814,0.8925,634900
ACHV,20231207,5.5,5.62,5.41,5.56,11700
ACIC,20231207,8.45,8.62,8.3674,8.49,403700
ACIU,20231207,3.55,3.7,3.46,3.51,84800
ACIW,20231207,27.05,27.64,26.87,27.43,515100
ACLS,20231207,122.91,124.05,121.11,122.65,500500
ACLX,20231207,54.86,57.9,54.705,57.89,492800
ACMR,20231207,15.99,16.245,15.67,16.12,555900
ACNB,20231207,40.425,40.7723,39.49,39.96,13100
ACNT,20231207,7.865,8.07,7.865,8.07,1600
ACON,20231207,0.2423,0.2455,0.23,0.23,60500
ACONW,20231207,0.0261,0.0261,0.0261,0.0261,200
ACOR,20231207,12.19,13.24,12.15,12.52,2600
ACRS,20231207,1.01,1.02,0.96,1,3108700
ACRV,20231207,5.5,5.88,5.215,5.39,38700
ACRX,20231207,0.82,0.8212,0.7509,0.7632,123500
ACST,20231207,2.2446,2.38,2.16,2.325,7200
ACT,20231207,27.23,27.4,26.98,27.38,189600
ACTG,20231207,3.76,3.79,3.715,3.79,162500
ACVA,20231207,14.51,14.51,14.12,14.27,914800
ACWI,20231207,98.14,98.51,97.92,98.39,2923100
ACWX,20231207,49.33,49.49,49.12,49.41,1701400
ACXP,20231207,3.77,4.49,3.68,4.34,322400
ADAG,20231207,1.97,1.97,1.8,1.8,42300
ADAP,20231207,0.58,0.58,0.5249,0.5699,336100
ADBE,20231207,598.92,609.23,596.47,608.78,2605200
ADD,20231207,0.3113,0.3124,0.29,0.2946,26500
ADEA,20231207,9.51,9.73,9.46,9.67,328300
ADES,20231207,2.69,2.84,2.65,2.68,110300
ADI,20231207,182.34,185.72,180.37,184.38,3717600
