<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,20231213,0.9,0.9099,0.8801,0.89,7400
AACI,20231213,10.79,10.79,10.76,10.77,16600
AACIW,20231213,0.03,0.03,0.021,0.021,4200
AADI,20231213,5.11,5.54,5.11,5.36,184900
AADR,20231213,54.31,55.39,54.31,55.39,900
AAGR,20231213,0.6814,0.74,0.63,0.7279,1225300
AAGRW,20231213,0.0312,0.035,0.025,0.0251,85500
AAL,20231213,13.88,14.15,13.64,14.09,39046100
AAME,20231213,1.92,2.02,1.88,1.88,14800
AAOI,20231213,18.77,21.65,18.65,21.62,5601100
AAON,20231213,67,67.55,64.53,67.37,508200
AAPB,20231213,28.1,28.72,28.05,28.72,9300
AAPD,20231213,20.1,20.1,19.79,19.81,142300
AAPL,20231213,195.09,198,194.85,197.96,70402500
AAPU,20231213,28.3,28.92,28.3,28.89,122200
AAXJ,20231213,64.47,65.42,64.125,65.4,790600
ABAT,20231213,4.05,4.34,3.94,4.19,830700
ABCB,20231213,47.06,50.2,46.79,50.1,496300
ABCL,20231213,4.8,5.06,4.67,5.04,1200100
ABEO,20231213,4.74,4.78,4.59,4.72,103500
ABIO,20231213,1.83,1.83,1.755,1.78,17300
ABL,20231213,7.65,8.25,7.45,7.96,80800
ABLLL,20231213,25.2,25.2,24.98,25.2,1600
ABLLW,20231213,0.506,0.6375,0.5,0.58,512200
ABLV,20231213,3.0835,3.0835,2.772,3,3000
ABNB,20231213,142.95,144.94,140.34,144.51,6673900
ABOS,20231213,2.8,2.92,2.77,2.91,560600
ABSI,20231213,2.34,2.44,2.29,2.44,557500
ABTS,20231213,0.9501,0.99,0.93,0.99,15900
ABUS,20231213,2.06,2.15,1.98,2.14,648400
ABVC,20231213,1.1,1.13,1.04,1.1,178900
ABVX,20231213,10.29,10.65,10.17,10.41,90700
ACABW,20231213,0.0228,0.0228,0.0188,0.02,1100
ACAC,20231213,10.95,11.02,10.95,11.01,30000
ACACW,20231213,0.077,0.079,0.077,0.079,200
ACAD,20231213,21.5,28.94,21.41,28.47,14153400
ACAH,20231213,10.5,11.035,10.5,10.51,12500
ACAX,20231213,10.61,10.8,10.6,10.8,2400
ACAXW,20231213,0.0205,0.0205,0.02,0.02,3600
ACB,20231213,0.471,0.4888,0.451,0.48,9769200
ACCD,20231213,9.58,10.35,9.41,10.2,738800
ACDC,20231213,7.84,8.24,7.64,8.21,842100
ACET,20231213,1.4,1.55,1.36,1.52,400400
ACGL,20231213,80.15,80.37,77.94,78.38,2106400
ACGLN,20231213,19.57,19.76,19.3601,19.58,37000
ACGLO,20231213,22.712,22.805,22.5801,22.79,68100
ACHC,20231213,75.69,78.98,75.69,78.96,621400
ACHL,20231213,0.88,0.9677,0.8796,0.9639,276100
