<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,20231215,0.8887,0.8887,0.8502,0.8502,6600
AACIW,20231215,0.025,0.025,0.017,0.025,3800
AADI,20231215,2.34,2.71,2.25,2.34,6035800
AADR,20231215,55.38,55.38,54.94,55.1034,200
AAGR,20231215,0.66,0.665,0.58,0.598,1166400
AAGRW,20231215,0.036,0.04,0.03,0.0329,45700
AAL,20231215,14.63,14.67,14.41,14.49,34742300
AAME,20231215,2.06,2.08,1.98,1.98,7700
AAOI,20231215,23.71,23.95,20.82,21.725,4570900
AAON,20231215,71.72,72.16,70.21,71.11,1063700
AAPB,20231215,28.74,28.7587,28.48,28.48,10800
AAPD,20231215,19.84,19.91,19.8,19.91,167100
AAPL,20231215,197.53,198.3999,197,197.57,128538400
AAPU,20231215,28.84,28.9886,28.7,28.7,69500
AAXJ,20231215,66.36,66.41,65.77,65.84,689800
ABAT,20231215,4.69,5.27,4.68,5.07,3105100
ABCB,20231215,52.63,53.22,51.72,52.16,1780200
ABCL,20231215,5.58,5.61,5.3,5.43,2437100
ABEO,20231215,4.75,4.88,4.66,4.87,241900
ABIO,20231215,1.81,1.81,1.75,1.75,25600
ABL,20231215,8.17,8.3399,7.51,8.05,33100
ABLLL,20231215,25.1,25.1,25.06,25.1,600
ABLLW,20231215,0.58,0.58,0.5,0.5,12500
ABLV,20231215,3,3,2.8799,2.965,9500
ABNB,20231215,147.26,148.73,145.86,146.6,8239000
ABOS,20231215,3.01,3.07,2.82,2.88,890400
ABSI,20231215,2.76,2.92,2.61,2.73,1584200
ABTS,20231215,1,1.0399,0.96,0.96,4100
ABUS,20231215,2.21,2.27,2.18,2.24,2005700
ABVC,20231215,1.29,1.366,1.25,1.3,341600
ABVX,20231215,10.36,10.67,10.36,10.5,109600
ACABW,20231215,0.0227,0.0227,0.0166,0.018,12700
ACAC,20231215,11.04,11.04,11.04,11.04,100
ACAD,20231215,28.3,29.45,27.94,28.58,4693000
ACB,20231215,0.4893,0.49,0.475,0.48,4421800
ACBA,20231215,11.84,11.84,11.84,11.84,100
ACCD,20231215,10.96,11.13,10.455,10.48,1173800
ACDC,20231215,8.73,8.83,8.115,8.18,1018900
ACET,20231215,1.66,1.66,1.5599,1.59,923700
ACGL,20231215,74.33,74.8,72.85,73.42,4577800
ACGLN,20231215,19.89,19.9414,19.52,19.64,40600
ACGLO,20231215,23.03,23.03,22.78,22.95,23100
ACHC,20231215,77.62,78.71,75.38,75.43,1214700
ACHL,20231215,0.85,0.8769,0.835,0.87,121600
ACHV,20231215,3.25,3.3,3.12,3.18,134300
ACIC,20231215,8.9,9,8.44,8.47,310600
ACIU,20231215,3.65,3.98,3.65,3.92,1318100
ACIW,20231215,29.69,29.9136,29.235,29.72,3214400
ACLS,20231215,141.46,141.72,134.56,136.09,1346700
ACLX,20231215,51.57,51.57,49.63,51.12,1431300
ACMR,20231215,18.13,18.269,17.56,17.9,924000
ACNB,20231215,45.47,48.55,45,47.59,65000
ACNT,20231215,7.55,7.69,7.2,7.35,24800
ACON,20231215,0.2267,0.245,0.21,0.2107,76500
ACOR,20231215,13.84,14.8,13.4781,14.8,8100
ACRS,20231215,1.08,1.085,1,1.01,2810700
ACRV,20231215,5.08,5.19,4.59,4.59,64700
ACRX,20231215,0.77,0.8399,0.75,0.809,235300
ACST,20231215,2.04,2.1982,2.04,2.15,11700
ACT,20231215,28.65,28.79,28.31,28.5,502100
ACTG,20231215,3.91,3.92,3.865,3.9,397800
ACVA,20231215,15.44,15.44,14.28,14.54,2112300
ACWI,20231215,101.25,101.4,100.89,100.97,2759100
ACWX,20231215,50.66,50.74,50.37,50.37,1560200
ACXP,20231215,3.47,3.59,3.29,3.5,306600
ADAG,20231215,1.66,1.68,1.35,1.53,114400
ADAP,20231215,0.481,0.4987,0.45,0.45,1524600
ADBE,20231215,580.6,591.66,578.2,584.68,8666400
ADD,20231215,0.35,0.395,0.3229,0.395,122100
ADEA,20231215,11.07,11.17,10.85,11.11,3849700
ADES,20231215,2.55,2.64,2.4,2.6,193600
ADI,20231215,201.94,202.77,200.02,200.88,7057400
ADIL,20231215,1.8,1.94,1.73,1.75,89000
ADMA,20231215,4.14,4.24,4.04,4.2,3942500
ADN,20231215,0.32,0.3277,0.31,0.31,958300
ADNWW,20231215,0.0304,0.0325,0.028,0.031,51400
ADOCW,20231215,0.009,0.009,0.0073,0.0073,58300
ADP,20231215,235.89,237.18,233.69,234.14,5260500
ADPT,20231215,5.25,5.39,4.73,4.87,2547000
ADSE,20231215,6.82,6.905,6.59,6.9,27200
ADSEW,20231215,0.75,0.82,0.75,0.82,1400
ADSK,20231215,241.35,243.172,238.89,242.29,3179500
ADTH,20231215,1.3,1.42,1.3,1.39,157500
ADTHW,20231215,0.0333,0.0333,0.0333,0.0333,300
ADTN,20231215,7.13,7.33,7.025,7.1,4134100
ADTX,20231215,5.09,5.3,4.8,4.98,254100
ADUS,20231215,96,96.25,92.62,92.76,452900
ADV,20231215,3.61,3.84,3.565,3.83,1475400
ADVM,20231215,0.81,0.8781,0.792,0.815,213700
ADVWW,20231215,0.1125,0.1125,0.11,0.11,9400
ADXN,20231215,5.37,5.43,5,5.43,8700
AEAE,20231215,10.89,10.89,10.89,10.89,200
AEHL,20231215,2.1,2.35,2.0873,2.16,5900
AEHR,20231215,30.05,30.11,27.45,27.64,1640800
AEI,20231215,0.844,0.86,0.81,0.824,64000
AEIS,20231215,111.38,111.64,108.57,109.49,782200
AEMD,20231215,2.05,2.16,1.94,2,38000
AENT,20231215,0.89,0.89,0.7,0.7443,68800
AEP,20231215,82.51,83.58,81.905,82.23,10926000
AERT,20231215,2.43,2.5,2.43,2.49,5700
AEY,20231215,2.42,2.475,2.29,2.31,20600
AEYE,20231215,4.19,4.305,4.12,4.12,38600
AEZS,20231215,2.18,2.18,2.1076,2.135,6800
AFBI,20231215,15,16.08,15,16.08,23400
AFCG,20231215,12.29,12.37,11.97,12.18,275900
AFIB,20231215,0.21,0.2206,0.2,0.2205,199400
AFJKU,20231215,10.17,10.17,10.16,10.16,158500
AFMD,20231215,0.41,0.4131,0.385,0.3866,3047500
AFRI,20231215,11.59,11.6,11.31,11.34,17200
AFRIW,20231215,1.59,1.6,1.51,1.51,2400
AFRM,20231215,45.24,45.94,43.17,43.97,21329200
AFYA,20231215,21.06,21.32,20.84,21.2,282300
AGAE,20231215,1.47,1.4732,1.35,1.4,62600
AGBA,20231215,0.3789,0.383,0.3659,0.373,26100
AGEN,20231215,0.77,0.7798,0.67,0.6917,42427200
AGFY,20231215,1.18,1.25,1.146,1.155,23100
AGIO,20231215,23.46,23.79,22.93,23.24,1025300
AGMH,20231215,1.79,1.79,1.6776,1.724,8600
AGNC,20231215,9.88,9.96,9.7,9.73,25772500
AGNCL,20231215,22.01,22.38,21.98,22.28,84600
AGNCM,20231215,23.79,23.9074,23.75,23.815,7100
AGNCN,20231215,25.36,25.55,25.36,25.55,54900
AGNCO,20231215,23.3,23.58,23.3,23.51,78800
AGNCP,20231215,21.98,21.98,21.8602,21.96,38400
AGNG,20231215,27.94,27.94,27.76,27.81,2600
AGRI,20231215,0.5916,0.62,0.586,0.59,143800
AGRIW,20231215,0.006,0.006,0.0048,0.006,1700
AGRX,20231215,2.2,2.2,2,2.02,65600
AGYS,20231215,82.03,84.66,81.15,83.65,439100
AGZD,20231215,21.99,22.01,21.77,21.95,134000
AHCO,20231215,8.88,8.9,7.71,7.74,4805800
AHG,20231215,0.625,0.649,0.585,0.6,3000
