<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,20240105,1.09,1.2,1.05,1.11,13700
AADI,20240105,1.85,1.85,1.74,1.76,604300
AADR,20240105,54.865,55.01,54.865,55.01,200
AAGR,20240105,1.14,1.16,1,1.04,358400
AAGRW,20240105,0.021,0.027,0.021,0.0211,5600
AAL,20240105,13.05,13.67,13.01,13.6,37541700
AAME,20240105,2.35,2.54,2.35,2.5,8300
AAOI,20240105,18.41,20.29,17.9201,20.15,2950800
AAON,20240105,73.07,73.9599,71.73,72.45,349600
AAPB,20240105,20.72,20.8544,20.4,20.57,26900
AAPD,20240105,21.37,21.5699,21.27,21.46,253900
AAPL,20240105,181.99,182.76,180.17,181.18,62379600
AAPU,20240105,25.12,25.27,24.75,24.96,164400
AAXJ,20240105,64.95,65.315,64.765,64.82,585200
ABAT,20240105,4.38,4.41,4.01,4.15,564500
ABCB,20240105,49.92,51.24,49.92,50.57,355200
ABCL,20240105,5.93,5.93,5.75,5.84,1401000
ABCS,20240105,24.95,24.95,24.8857,24.8857,3700
ABEO,20240105,5.7,5.8972,5.532,5.66,174000
ABIO,20240105,1.64,1.648,1.62,1.63,11900
ABL,20240105,10.59,10.99,10.4,10.42,25800
ABLLL,20240105,25.5,25.5,25.5,25.5,200
ABLLW,20240105,0.9,0.91,0.84,0.8606,39500
ABLV,20240105,2.6,2.6,2.4,2.48,4400
ABNB,20240105,134.25,136.65,133.895,135.98,4006600
ABOS,20240105,4,4.075,3.85,4.02,442800
ABSI,20240105,3.89,3.89,3.45,3.62,1276400
ABTS,20240105,1.23,1.23,1.18,1.2299,27400
ABUS,20240105,2.48,2.51,2.4,2.49,560400
ABVC,20240105,1.38,1.52,1.35,1.37,1481700
ABVX,20240105,10.71,10.9,10.6224,10.74,98600
ACAB,20240105,10.6,10.6001,10.6,10.6,600
ACAD,20240105,29.59,30.54,29.39,30.33,1248100
ACAHW,20240105,0.0332,0.035,0.025,0.025,67600
ACB,20240105,0.48,0.485,0.45,0.475,7043600
ACBA,20240105,11.88,11.88,11.88,11.88,200
ACCD,20240105,10.99,11.36,10.83,11.14,765600
ACDC,20240105,7.7,8.09,7.62,8,878700
ACET,20240105,2.11,2.52,2.02,2.42,2882200
ACGL,20240105,77.65,78,76.49,76.81,2073900
ACGLN,20240105,20.09,20.2949,20.01,20.07,22500
ACGLO,20240105,23.59,23.81,23.51,23.51,9800
ACHC,20240105,79.11,82.1,78.595,79.25,748300
ACHL,20240105,0.88,0.88,0.84,0.84,151400
ACHV,20240105,4.09,4.114,3.75,3.88,60900
ACIC,20240105,9.98,10.05,9.8,9.9,195800
ACIU,20240105,4.55,4.55,4.17,4.28,138100
ACIW,20240105,29.05,29.49,28.94,29.31,634700
ACLS,20240105,116.44,118.07,115.21,117.83,644100
ACLX,20240105,53.44,53.885,51.37,51.85,526100
ACMR,20240105,16.89,17.26,16.6602,16.96,745100
ACNB,20240105,44.48,45.93,44.17,44.64,34800
ACNT,20240105,10.14,10.14,9.88,9.98,12100
ACON,20240105,2.84,4.34,2.75,3.06,3957600
ACONW,20240105,0.049,0.049,0.03,0.03,6800
ACOR,20240105,15,15,14.5,14.5,800
ACRS,20240105,1.08,1.12,1.04,1.06,1265700
ACRV,20240105,4.66,4.7299,4.41,4.56,44300
ACRX,20240105,0.764,0.7986,0.7443,0.775,77000
ACST,20240105,2.66,2.9,2.65,2.87,49200
ACT,20240105,28.51,28.81,28.38,28.43,155900
ACTG,20240105,3.81,3.875,3.65,3.84,132600
ACVA,20240105,13.67,13.84,13.3925,13.42,1686700
ACWI,20240105,99.97,100.725,99.855,100.08,3524000
ACWX,20240105,50.16,50.59,50.07,50.21,1448100
ACXP,20240105,3.99,4,3.8688,3.9,52300
ADAG,20240105,2.2,2.2,2.02,2.12,217400
ADAP,20240105,0.81,0.9298,0.8001,0.88,1538900
ADBE,20240105,563.5,569.52,563.34,564.6,1923200
ADD,20240105,0.3317,0.3666,0.3089,0.35,212400
ADEA,20240105,12.15,12.45,12.03,12.11,486600
ADES,20240105,2.55,2.92,2.5088,2.81,273800
ADI,20240105,186.01,187.8,184.98,186.55,2492200
ADIL,20240105,1.71,1.8363,1.7,1.7501,26200
ADMA,20240105,4.47,4.48,4.4,4.4,1407900
ADN,20240105,0.2,0.2124,0.197,0.1972,987100
ADNWW,20240105,0.0219,0.0247,0.0219,0.0245,26300
ADOC,20240105,11.59,11.59,11.59,11.59,500
ADP,20240105,232.64,235.43,232.45,235.21,1765300
ADPT,20240105,4.54,4.685,4.38,4.58,1119500
ADSE,20240105,6.9858,7.025,6.94,7,12200
ADSEW,20240105,0.75,0.7501,0.75,0.75,3600
ADSK,20240105,228.77,231.86,228.41,229.52,1138200
ADTH,20240105,1.48,1.86,1.4699,1.85,756000
ADTHW,20240105,0.0492,0.0522,0.0492,0.0517,216700
ADTN,20240105,7.15,7.25,7.09,7.16,656300
ADTX,20240105,5.27,5.3605,5,5.09,132500
ADUS,20240105,89.43,90.11,88.22,88.26,64300
ADV,20240105,3.67,3.7,3.47,3.61,434300
ADVM,20240105,0.88,0.9133,0.8335,0.835,407700
ADXN,20240105,6.9008,6.9351,6.9008,6.9351,3100
AEHL,20240105,2.14,2.1951,1.84,1.91,31300
AEHR,20240105,22.36,23.066,22.1932,22.49,930500
AEI,20240105,1.085,1.085,1.05,1.05,45600
AEIS,20240105,100.24,101.77,100.24,100.87,130700
AEMD,20240105,2.09,2.1137,1.9903,2.1,14600
AENT,20240105,1.03,1.152,1,1.03,8300
AENTW,20240105,0.0099,0.01,0.0099,0.01,31700
AEP,20240105,83.13,84.54,82.98,84.07,2464000
AERT,20240105,2.35,2.4,2.25,2.39,9900
AEY,20240105,2.42,2.45,2.42,2.45,2400
AEYE,20240105,4.98,5,4.52,4.52,28100
AEZS,20240105,2,2,1.9,1.9,10400
AFARW,20240105,0.0142,0.015,0.0125,0.0125,26300
AFBI,20240105,16.1499,16.15,15.83,16.1001,3500
AFCG,20240105,11.98,12.15,11.94,11.96,90800
AFIB,20240105,0.1969,0.1969,0.1841,0.189,89100
AFJKU,20240105,10.2613,10.2613,10.25,10.25,13600
AFMD,20240105,0.65,0.6871,0.594,0.6159,1016000
AFRI,20240105,10.6901,10.705,10.6,10.68,12500
AFRIW,20240105,1.49,1.49,1.45,1.45,2300
AFRM,20240105,41.58,43.91,41.435,43.01,12943700
AFYA,20240105,20.82,21.27,20.71,20.83,232600
AGAE,20240105,1.09,1.12,1.0656,1.09,13500
AGBA,20240105,0.38,0.4298,0.3755,0.4011,71800
AGEN,20240105,0.7584,0.7829,0.7319,0.7786,4018500
AGFY,20240105,1.2301,1.3155,1.2301,1.3155,10000
AGIO,20240105,23.17,23.24,22.431,23.14,684100
AGMH,20240105,1.86,1.91,1.8517,1.8517,4400
AGNC,20240105,9.34,9.65,9.3,9.6,11985500
AGNCL,20240105,21.89,22.0723,21.78,21.82,18700
AGNCM,20240105,23.7499,23.8318,23.72,23.8,13500
AGNCN,20240105,25.05,25.08,24.96,25.05,87400
AGNCO,20240105,23.28,23.4,23.2,23.21,62000
AGNCP,20240105,22.07,22.07,21.88,22.06,38500
AGNG,20240105,28.34,28.4903,28.27,28.27,1300
AGRI,20240105,0.417,0.43,0.404,0.419,281800
AGRX,20240105,1.62,1.8683,1.48,1.56,226200
AGYS,20240105,77.36,78.86,77.08,77.78,153800
AGZD,20240105,21.92,21.98,21.8,21.9,63300
AHCO,20240105,7.12,7.41,7.0002,7.25,923500
AHG,20240105,1.21,1.21,1.11,1.2,25900
AHI,20240105,2.19,2.19,1.97,2.05,15600
AIA,20240105,55.96,56.3655,55.86,55.92,25100
AIH,20240105,0.6499,0.6499,0.63,0.6398,2400
AIHS,20240105,0.4546,0.49,0.4295,0.4624,29000
AIMD,20240105,4.05,4.2899,2.52,2.74,30526900
AIMDW,20240105,0.174,0.19,0.174,0.19,21200
AIP,20240105,5.53,5.65,5.365,5.39,104900
AIQ,20240105,29.89,30.1367,29.8008,29.87,288600
AIRE,20240105,1.76,1.76,1.55,1.6,454500
AIRG,20240105,3.58,3.6674,3.52,3.59,22500
AIRL,20240105,25.04,25.4786,25.04,25.4786,100
AIRR,20240105,55.04,55.72,54.82,54.98,107900
AIRS,20240105,7.07,7.5,7.07,7.36,102600
AIRT,20240105,16.78,17.1,16.4345,16.835,1700
AIRTP,20240105,16.63,18.13,16.63,18.0699,3800
AISP,20240105,2.03,2.09,1.75,1.89,874900
AISPW,20240105,0.056,0.0675,0.043,0.0501,32900
AITR,20240105,10.19,10.19,10.18,10.18,225400
AITRR,20240105,0.15,0.15,0.13,0.15,221000
AIXI,20240105,2.01,2.04,1.93,1.93,52600
AKAM,20240105,114.64,115.21,114.1,114.33,1333600
AKAN,20240105,0.4849,0.4849,0.46,0.4601,67100
AKBA,20240105,1.53,1.595,1.455,1.48,2408100
AKLI,20240105,0.4677,0.48,0.45,0.4572,16800
AKRO,20240105,22.52,23.035,21.62,22.84,655100
AKTS,20240105,0.77,0.78,0.74,0.7653,297100
AKTX,20240105,2.83,3,2.8,2.85,19700
AKYA,20240105,4.28,4.51,4.25,4.33,142700
ALAR,20240105,9.45,10,8.83,9.95,300300
ALBT,20240105,0.44,0.45,0.43,0.45,4500
ALCE,20240105,1.32,1.38,1.23,1.27,228000
ALCO,20240105,29.53,29.7,29,29.11,22100
ALDX,20240105,3.28,3.32,3.18,3.23,655500
ALEC,20240105,7.91,7.91,7.46,7.49,374100
ALGM,20240105,27.2,27.56,26.5,26.805,1804800
ALGN,20240105,259,269.745,259,264.68,846800
ALGS,20240105,0.7407,0.7407,0.6902,0.71,30600
ALGT,20240105,77.85,81.28,77.85,78.99,175700
ALHC,20240105,7.97,8.16,7.81,7.95,546500
ALIM,20240105,4.05,4.23,3.74,3.89,117400
ALKS,20240105,28.41,28.74,28.14,28.56,1373500
ALKT,20240105,22.99,23.535,22.98,23.07,277000
ALLK,20240105,2.73,2.865,2.57,2.82,772900
ALLO,20240105,2.8,2.93,2.61,2.915,9757400
ALLR,20240105,0.53,0.53,0.4877,0.4982,69100
ALLT,20240105,1.55,1.62,1.532,1.59,54800
ALNT,20240105,28.42,28.8277,28.07,28.17,37200
ALNY,20240105,190.33,191.38,188.315,189.38,602700
ALOT,20240105,17.16,17.16,17,17.06,7900
ALPN,20240105,18.03,18.33,17.32,17.75,564700
ALPP,20240105,0.63,0.66,0.6041,0.659,110300
ALRM,20240105,61.25,62.2399,61.19,61.19,205600
ALRN,20240105,3.16,3.2599,2.91,2.92,48300
ALRS,20240105,21.52,22.0623,21.38,21.48,79400
ALSA,20240105,11.2,11.2,11.17,11.18,1400
ALSAR,20240105,0.13,0.13,0.0713,0.0713,600
ALT,20240105,11.62,12.1,11.11,11.19,10535300
ALTI,20240105,7.17,7.92,7.16,7.55,77000
ALTO,20240105,2.71,2.74,2.65,2.7,651100
ALTR,20240105,77.51,80.33,77.29,80,563500
ALTY,20240105,11.23,11.33,11.23,11.23,14700
ALVO,20240105,12.2,12.5,12.2,12.26,36900
ALVOW,20240105,2.5,2.88,2.48,2.88,112000
ALVR,20240105,0.68,0.6854,0.644,0.6516,4070400
