<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,20231208,0.89,0.8938,0.8,0.81,20800
AADI,20231208,4.75,5.14,4.7,4.96,218600
AADR,20231208,53.02,54.206,53.02,54.05,1300
AAGR,20231208,3.89,3.9806,2.21,2.3,1148900
AAGRW,20231208,0.05,0.074,0.0311,0.0312,28600
AAL,20231208,13.87,13.98,13.71,13.76,30196900
AAME,20231208,1.92,1.92,1.9,1.91,5100
AAOI,20231208,17.83,19.84,17.83,19.76,4883700
AAON,20231208,64.77,66.435,64.39,65.34,298800
AAPB,20231208,27.829,28.241,27.74,28.2,12900
AAPD,20231208,20.21,20.24,20.0099,20.02,93700
AAPL,20231208,194.2,195.99,193.67,195.71,53406300
AAPU,20231208,28.12,28.495,28.01,28.47,96000
AAXJ,20231208,64.27,64.55,64.13,64.39,796800
ABAT,20231208,4.11,4.2097,3.9999,4,480400
ABCB,20231208,46.99,47.59,46.425,47,344900
ABCL,20231208,4.79,4.97,4.7001,4.87,1524500
ABEO,20231208,4.75,4.88,4.7,4.78,111100
ABIO,20231208,1.8,1.82,1.8,1.81,13400
ABL,20231208,7.33,7.33,6.88,7,30100
ABLLL,20231208,25,25,24.9,24.9,1000
ABLLW,20231208,0.357,0.3999,0.357,0.3864,5300
ABLV,20231208,2.85,2.99,2.815,2.989,12700
ABNB,20231208,138.19,141.54,137.8,140.68,4411100
ABOS,20231208,2.83,2.8399,2.71,2.77,307200
ABSI,20231208,2.34,2.49,2.22,2.3,931800
ABTS,20231208,0.9797,1.08,0.9789,1.06,53900
ABUS,20231208,2.07,2.09,2.02,2.07,324500
ABVC,20231208,1.25,1.25,1.16,1.19,281500
ABVX,20231208,10.5,10.8,10.29,10.49,186500
ACAB,20231208,10.66,10.66,10.65,10.65,1500
ACAC,20231208,10.97,10.97,10.96,10.96,116400
ACAD,20231208,21.73,21.73,20.87,20.98,1440100
ACAH,20231208,10.52,10.52,10.52,10.52,100
ACAHW,20231208,0.026,0.026,0.026,0.026,11300
ACAX,20231208,10.8,10.8,10.6,10.6,200
ACB,20231208,0.486,0.522,0.484,0.5176,8490100
ACBA,20231208,11.75,11.75,11.75,11.75,2900
ACCD,20231208,9.19,9.3901,8.945,9.34,361900
ACDC,20231208,7.83,8.09,7.69,7.97,476900
ACET,20231208,1.38,1.405,1.27,1.38,303800
ACGL,20231208,78.68,79.39,78.32,79.3,1372900
ACGLN,20231208,19.62,19.62,19.39,19.52,28400
ACGLO,20231208,22.75,22.78,22.6,22.71,48000
ACHC,20231208,71.98,73.32,71.37,73.26,873900
