<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACG,20240103,1.09,1.2342,1.04,1.04,2500
AACI,20240103,10.84,10.84,10.83,10.83,13000
AACIW,20240103,0.02,0.025,0.02,0.025,3900
AADI,20240103,2.03,2.0605,1.9369,1.95,461000
AADR,20240103,54.3301,54.51,54.3301,54.39,600
AAGR,20240103,1.05,1.2,1.02,1.17,508400
AAGRW,20240103,0.016,0.016,0.016,0.016,300
AAL,20240103,13.15,13.17,12.89,12.95,41757700
AAME,20240103,2.344,2.42,2.3401,2.42,6800
AAOI,20240103,18,18.68,17.44,17.46,1941300
AAON,20240103,73.19,73.63,72.16,73.11,456000
AAPB,20240103,21.2,21.4101,21.13,21.23,41300
AAPD,20240103,21.1,21.17,20.9,21.08,373500
AAPL,20240103,184.22,185.88,183.43,184.25,58414400
AAPU,20240103,25.61,25.92,25.45,25.62,120600
AAXJ,20240103,64.91,65.355,64.78,65.22,423900
ABAT,20240103,4.49,4.515,4.2,4.23,253600
ABCB,20240103,51.53,51.65,50.02,50.14,404900
ABCL,20240103,5.6,5.79,5.52,5.7,1531400
ABCS,20240103,24.97,24.9916,24.8107,24.8107,1800
ABEO,20240103,5.4,5.84,5.39,5.75,280800
ABIO,20240103,1.66,1.673,1.65,1.65,35300
ABL,20240103,10.4,10.65,10.2,10.45,41700
ABLLL,20240103,25.26,25.26,25,25,2000
ABLLW,20240103,0.84,0.91,0.81,0.83,51300
ABLV,20240103,2.47,2.53,2.42,2.49,4600
ABNB,20240103,132.71,134.54,130.82,133.42,4266600
ABOS,20240103,4.45,4.595,3.805,3.94,1057200
ABSI,20240103,3.56,3.8,3.46,3.57,1344300
ABTS,20240103,1.14,1.1999,1.1,1.15,52700
ABUS,20240103,2.6,2.61,2.445,2.5,886800
ABVC,20240103,2.17,2.45,1.75,1.93,89146300
ABVX,20240103,10.5,11.58,10.5,10.9,127300
ACAB,20240103,10.58,10.58,10.58,10.58,200
ACAD,20240103,30.83,30.86,29.2,29.57,1511000
ACAHW,20240103,0.03,0.03,0.03,0.03,1000
ACB,20240103,0.4755,0.4874,0.4606,0.4756,9040200
ACCD,20240103,11.61,11.61,11.185,11.28,660200
ACDC,20240103,7.9,8.1,7.58,7.95,713200
ACET,20240103,2.04,2.05,1.75,1.76,605400
ACGL,20240103,75.91,77.66,75.75,76.94,2213900
ACGLN,20240103,20,20.14,19.77,20.05,22500
ACGLO,20240103,23.6,23.75,23.42,23.68,17200
ACHC,20240103,77.61,77.64,76.43,76.68,386300
ACHL,20240103,0.87,0.8799,0.8502,0.8505,171400
ACHV,20240103,4.1,4.18,3.86,4.17,40900
ACIC,20240103,9.69,10.43,9.69,10.23,377700
ACIU,20240103,4.65,4.65,4.36,4.47,126500
ACIW,20240103,30.03,30.26,29.51,29.53,781200
ACLS,20240103,122.15,123,120.21,120.92,550500
ACLX,20240103,55.57,56.6189,53.45,54.45,379400
ACMR,20240103,18.15,18.186,17.33,17.66,1324900
ACNB,20240103,46.33,46.9927,44.15,44.22,33000
ACNT,20240103,9.97,10.2,9.4982,10.08,31600
ACON,20240103,0.2034,0.2274,0.1882,0.209,8446600
ACONW,20240103,0.0299,0.03,0.0289,0.03,2500
ACOR,20240103,14.19,14.91,14.13,14.5,1900
ACRS,20240103,1.07,1.18,1.03,1.12,2856500
ACRV,20240103,5.2,5.31,4.89,4.98,33700
ACRX,20240103,0.7549,0.777,0.73,0.7695,103600
ACST,20240103,2.77,2.78,2.6501,2.72,9600
ACT,20240103,28.52,28.65,28.3,28.42,139100
ACTG,20240103,3.9,3.97,3.88,3.89,127400
ACVA,20240103,14.57,14.69,14.28,14.34,1336800
ACWI,20240103,100.27,100.54,99.935,100.1,3666700
ACWX,20240103,50.04,50.24,49.875,50.09,1868000
ACXP,20240103,4.06,4.19,4.0012,4.12,147600
ADAG,20240103,1.9619,2.23,1.9619,2.125,82600
ADAP,20240103,0.76,0.76,0.69,0.7215,505400
ADBE,20240103,574.58,577.305,570.19,571.79,2478000
ADD,20240103,0.35,0.38,0.33,0.3399,235800
ADEA,20240103,12.4,12.57,12.23,12.44,555000
ADES,20240103,2.85,2.85,2.6318,2.77,155700
ADI,20240103,190.77,191.095,188.66,188.96,3297400
ADIL,20240103,1.82,1.8337,1.62,1.77,53500
ADMA,20240103,4.54,4.54,4.37,4.42,1685900
ADN,20240103,0.215,0.223,0.2013,0.205,1104900
ADNWW,20240103,0.0212,0.0276,0.02,0.0257,67000
ADOCW,20240103,0.0091,0.0092,0.0091,0.0092,9500
ADP,20240103,233.63,234.22,231.67,232.51,1831500
ADPT,20240103,4.7,4.75,4.38,4.52,1873300
ADSE,20240103,6.9,7.055,6.8723,7,35100
ADSEW,20240103,0.81,0.81,0.645,0.7813,8300
ADSK,20240103,231.71,231.71,227.04,227.19,1278900
ADTH,20240103,1.46,1.52,1.38,1.42,298800
ADTN,20240103,7.36,7.36,7.09,7.14,668600
ADTX,20240103,4.93,5.4999,4.81,5.34,391400
ADUS,20240103,92.99,93.28,90.625,90.64,70900
ADV,20240103,3.57,3.79,3.5,3.75,978700
ADVM,20240103,0.83,0.8674,0.79,0.8396,218400
ADXN,20240103,6.5,6.8,6.18,6.4295,9000
AEHL,20240103,2.56,2.56,2,2.0727,38700
AEHR,20240103,24.2,24.2,22.54,23.07,2504700
AEI,20240103,1.12,1.1299,1.06,1.1,14000
AEIS,20240103,104.88,104.88,101.855,102.05,241500
AEMD,20240103,2.18,2.24,2.16,2.17,11900
AENT,20240103,0.94,0.95,0.85,0.9497,13700
AEP,20240103,83.63,83.72,82.86,83.38,2915600
AERT,20240103,2.3638,2.4394,2.35,2.38,5500
AEY,20240103,2.59,2.77,2.55,2.6,3900
AEYE,20240103,4.91,4.9333,4.61,4.65,27600
AEZS,20240103,1.85,1.9699,1.83,1.87,5600
AFBI,20240103,15.99,16,15.99,16,2100
AFCG,20240103,12.05,12.0717,11.83,11.89,117700
AFIB,20240103,0.2062,0.2062,0.19,0.1986,107900
AFJKU,20240103,10.24,10.25,10.225,10.24,8300
AFMD,20240103,0.63,0.648,0.5633,0.5878,1155400
AFRI,20240103,10.58,10.785,10.58,10.69,55700
AFRIW,20240103,1.46,1.5,1.45,1.5,2200
AFRM,20240103,44.19,45.43,43.35,43.49,16484900
AFYA,20240103,21.16,21.61,20.91,21.46,113500
AGAE,20240103,1.03,1.239,1.03,1.13,77400
AGBA,20240103,0.4493,0.4493,0.42,0.43,22900
